TimeStamp,P1AK,P2AK,P3AK,P41AK,P42AK,P5AK,P61AK,P62AK,P63AK,P7AK,P8AK
2020-01-01 01:00:00,100.0,99.0,8.0,0.0,123.0,56.0,40.0,30.0,82.0,19.0,18.0
2020-01-01 02:00:00,93.0,74.0,8.0,0.0,118.0,45.0,40.0,37.0,74.0,16.0,15.0
2020-01-01 03:00:00,94.0,74.0,8.0,0.0,117.0,38.0,37.0,33.0,59.0,16.0,14.0
2020-01-01 04:00:00,91.0,75.0,8.0,0.0,116.0,38.0,32.0,25.0,56.0,15.0,13.0
2020-01-01 05:00:00,90.0,75.0,8.0,0.0,114.0,37.0,29.0,18.0,52.0,15.0,13.0
2020-01-01 06:00:00,89.0,76.0,8.0,0.0,116.0,37.0,19.0,12.0,50.0,15.0,13.0
2020-01-01 07:00:00,89.0,77.0,8.0,1.0,118.0,36.0,15.0,10.0,50.0,14.0,13.0
2020-01-01 08:00:00,89.0,77.0,8.0,3.0,117.0,36.0,14.0,9.0,50.0,15.0,13.0
2020-01-01 09:00:00,89.0,76.0,8.0,3.0,120.0,36.0,14.0,9.0,51.0,15.0,13.0
2020-01-01 10:00:00,88.0,76.0,8.0,7.0,118.0,40.0,25.0,19.0,54.0,15.0,13.0
2020-01-01 11:00:00,88.0,75.0,8.0,17.0,120.0,48.0,25.0,21.0,58.0,15.0,14.0
2020-01-01 12:00:00,99.0,70.0,8.0,20.0,125.0,56.0,37.0,21.0,65.0,17.0,17.0
2020-01-01 13:00:00,105.0,72.0,8.0,32.0,113.0,67.0,47.0,26.0,64.0,16.0,16.0
2020-01-01 14:00:00,117.0,67.0,7.0,48.0,119.0,64.0,40.0,32.0,55.0,22.0,14.0
2020-01-01 15:00:00,119.0,65.0,7.0,60.0,120.0,69.0,42.0,35.0,54.0,22.0,15.0
2020-01-01 16:00:00,129.0,63.0,7.0,59.0,123.0,94.0,49.0,46.0,61.0,20.0,18.0
2020-01-01 17:00:00,122.0,62.0,7.0,39.0,117.0,128.0,47.0,45.0,62.0,15.0,13.0
2020-01-01 18:00:00,144.0,64.0,7.0,35.0,120.0,129.0,39.0,36.0,56.0,15.0,15.0
2020-01-01 19:00:00,152.0,68.0,8.0,31.0,117.0,108.0,36.0,36.0,51.0,16.0,12.0
2020-01-01 20:00:00,165.0,69.0,8.0,7.0,106.0,116.0,29.0,25.0,56.0,14.0,10.0
2020-01-01 21:00:00,156.0,63.0,8.0,0.0,100.0,99.0,21.0,18.0,58.0,13.0,7.0
