		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Wind	Heat	THW			Heat	Cool	In 	In	In 	In 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Chill	Index	Index	Bar  	Rain	D-D 	D-D 	Temp	Hum	Dew	Heat	Int.
01.01.20	0:01	0.2	0.3	0.0	97	-0.3	0.9	ESE	1.61	2.2	-0.4	0.2	-0.4	1035.4	0.00	0.378	0.000	13.8	33	-2.2	12.1	30
01.01.20	0:31	0.0	0.1	-0.1	97	-0.4	1.3	ESE	2.41	2.2	-1.5	0.0	-1.5	1035.3	0.00	0.382	0.000	13.8	33	-2.2	12.1	30
01.01.20	1:01	0.0	0.1	-0.1	97	-0.4	1.8	ESE	3.22	3.1	-2.2	0.0	-2.2	1035.0	0.00	0.382	0.000	13.8	33	-2.2	12.1	30
01.01.20	1:31	0.1	0.2	-0.1	97	-0.4	1.3	ESE	2.41	2.2	-1.4	0.1	-1.4	1034.9	0.00	0.381	0.000	13.7	33	-2.3	12.1	30
01.01.20	2:01	-0.4	-0.1	-0.7	96	-0.9	1.8	ESE	3.22	3.1	-2.6	-0.4	-2.7	1034.9	0.00	0.390	0.000	13.7	33	-2.3	12.1	30
01.01.20	2:31	-0.9	-0.7	-1.0	96	-1.4	1.3	ESE	2.41	2.7	-2.5	-0.9	-2.6	1034.7	0.00	0.400	0.000	13.7	33	-2.3	12.1	30
01.01.20	3:01	-0.8	-0.6	-1.0	95	-1.5	1.3	ESE	2.41	2.2	-2.4	-0.8	-2.4	1034.2	0.00	0.398	0.000	13.7	33	-2.3	12.1	30
01.01.20	3:31	-0.7	-0.6	-0.8	95	-1.4	1.8	ESE	3.22	2.7	-2.9	-0.7	-3.0	1034.0	0.00	0.396	0.000	13.7	33	-2.3	12.1	30
01.01.20	4:01	-0.5	-0.4	-0.6	95	-1.2	1.3	ESE	2.41	2.7	-2.1	-0.6	-2.1	1033.8	0.00	0.392	0.000	13.7	33	-2.3	12.0	30
01.01.20	4:31	-0.2	0.2	-0.6	94	-1.1	0.9	ESE	1.61	2.2	-0.8	-0.3	-0.9	1033.7	0.00	0.387	0.000	13.7	33	-2.3	12.0	30
01.01.20	5:01	0.1	0.2	0.0	92	-1.0	0.9	E	1.61	2.7	-0.4	0.1	-0.5	1033.5	0.00	0.380	0.000	13.7	33	-2.3	12.0	30
01.01.20	5:31	0.2	0.3	0.0	91	-1.1	0.9	E	1.61	2.2	-0.4	0.1	-0.4	1033.5	0.00	0.378	0.000	13.7	33	-2.3	12.0	30
01.01.20	6:01	0.2	0.3	0.2	91	-1.1	0.9	E	1.61	1.8	-0.3	0.2	-0.4	1033.2	0.00	0.377	0.000	13.6	33	-2.4	11.9	30
01.01.20	6:31	0.6	0.7	0.3	88	-1.1	1.8	ESE	3.22	3.1	-1.5	0.5	-1.6	1033.1	0.00	0.369	0.000	13.6	33	-2.4	11.9	30
01.01.20	7:01	0.6	0.7	0.5	88	-1.1	2.2	ESE	4.02	4.9	-2.0	0.5	-2.1	1033.1	0.00	0.369	0.000	13.6	33	-2.4	11.9	30
01.01.20	7:31	0.5	0.6	0.4	87	-1.4	1.8	ESE	3.22	3.6	-1.6	0.4	-1.7	1033.0	0.00	0.372	0.000	13.6	33	-2.4	11.9	30
01.01.20	8:01	0.6	0.7	0.6	87	-1.3	1.8	ESE	3.22	3.1	-1.5	0.5	-1.6	1032.9	0.00	0.369	0.000	13.6	33	-2.4	11.9	30
01.01.20	8:31	0.4	0.6	0.3	87	-1.5	2.7	ESE	4.83	4.5	-2.7	0.3	-2.8	1033.1	0.00	0.373	0.000	13.6	33	-2.4	11.9	30
01.01.20	9:01	0.4	0.6	0.3	86	-1.7	2.2	ESE	4.02	4.0	-2.3	0.3	-2.4	1033.0	0.00	0.374	0.000	13.6	33	-2.4	11.9	30
01.01.20	9:31	0.7	0.8	0.6	85	-1.5	2.7	ESE	4.83	4.9	-2.3	0.6	-2.4	1033.1	0.00	0.367	0.000	13.5	33	-2.5	11.9	30
01.01.20	10:01	1.1	1.2	0.8	83	-1.5	2.7	ESE	4.83	7.2	-1.9	0.9	-2.1	1033.0	0.00	0.360	0.000	13.5	33	-2.5	11.9	30
01.01.20	10:31	1.4	1.6	1.2	83	-1.2	2.7	ESE	4.83	5.8	-1.6	1.2	-1.7	1033.1	0.00	0.353	0.000	13.4	33	-2.5	11.8	30
01.01.20	11:01	1.8	2.2	1.6	81	-1.1	2.7	ESE	4.83	4.9	-1.0	1.7	-1.2	1032.9	0.00	0.344	0.000	13.4	33	-2.5	11.8	30
01.01.20	11:31	2.6	3.1	2.2	77	-1.0	3.1	ESE	5.63	6.7	-0.4	2.4	-0.7	1032.8	0.00	0.328	0.000	13.4	33	-2.5	11.8	30
01.01.20	12:01	3.3	3.7	3.1	76	-0.6	2.7	ESE	4.83	5.8	0.7	3.1	0.5	1032.5	0.00	0.314	0.000	13.4	33	-2.5	11.8	30
01.01.20	12:31	4.1	4.3	3.7	74	-0.2	2.2	ESE	4.02	4.9	2.1	3.8	1.8	1032.2	0.00	0.297	0.000	13.4	33	-2.5	11.8	30
01.01.20	13:01	4.4	4.8	4.2	73	0.0	2.2	ESE	4.02	5.8	2.5	4.2	2.2	1032.0	0.00	0.289	0.000	13.4	33	-2.5	11.8	30
01.01.20	13:31	4.9	5.1	4.7	71	0.1	3.1	ESE	5.63	6.3	2.3	4.6	1.9	1031.6	0.00	0.280	0.000	13.4	33	-2.5	11.8	30
01.01.20	14:01	5.1	5.2	5.0	71	0.3	3.6	ESE	6.44	7.2	2.2	4.8	1.9	1031.4	0.00	0.275	0.000	13.4	33	-2.5	11.8	30
01.01.20	14:31	5.1	5.2	5.1	71	0.3	3.6	ESE	6.44	6.7	2.2	4.8	1.9	1031.2	0.00	0.275	0.000	13.4	33	-2.5	11.8	30
01.01.20	15:01	5.1	5.2	5.1	71	0.3	4.0	ESE	7.24	6.7	1.9	4.8	1.6	1031.2	0.00	0.275	0.000	13.5	33	-2.5	11.9	30
01.01.20	15:31	5.0	5.1	4.8	70	-0.0	3.1	ESE	5.63	7.2	2.4	4.7	2.1	1031.0	0.00	0.278	0.000	13.5	33	-2.5	11.9	30
01.01.20	16:01	4.6	4.8	4.2	73	0.2	3.6	ESE	6.44	6.7	1.7	4.3	1.4	1031.0	0.00	0.286	0.000	13.5	33	-2.5	11.9	30
01.01.20	16:31	3.8	4.2	3.6	74	-0.4	3.1	ESE	5.63	5.8	1.0	3.6	0.8	1030.9	0.00	0.302	0.000	13.4	33	-2.5	11.8	30
01.01.20	17:01	3.6	3.6	3.4	71	-1.2	3.1	ESE	5.63	6.3	0.7	3.2	0.3	1030.9	0.00	0.308	0.000	13.4	33	-2.5	11.8	30
01.01.20	17:31	3.4	3.6	3.2	74	-0.8	3.6	ESE	6.44	7.2	0.2	3.2	-0.1	1030.8	0.00	0.311	0.000	13.4	33	-2.5	11.8	30
01.01.20	18:01	3.1	3.1	3.0	72	-1.5	3.6	ESE	6.44	5.8	-0.3	2.8	-0.6	1030.7	0.00	0.318	0.000	13.4	33	-2.5	11.8	30
01.01.20	18:31	3.1	3.1	3.0	71	-1.7	3.1	ESE	5.63	6.3	0.1	2.7	-0.3	1030.7	0.00	0.318	0.000	13.4	33	-2.5	11.8	30
01.01.20	19:01	2.9	3.1	2.9	71	-1.8	3.1	ESE	5.63	6.3	-0.1	2.6	-0.4	1030.6	0.00	0.321	0.000	13.4	33	-2.5	11.8	30
01.01.20	19:31	2.8	2.9	2.6	72	-1.8	3.6	ESE	6.44	6.7	-0.6	2.5	-0.9	1030.5	0.00	0.324	0.000	13.4	33	-2.5	11.8	30
01.01.20	20:01	2.6	2.6	2.4	73	-1.8	3.1	ESE	5.63	6.3	-0.6	2.3	-0.8	1030.5	0.00	0.329	0.000	13.4	33	-2.5	11.8	30
01.01.20	20:31	2.3	2.4	2.3	71	-2.4	2.7	ESE	4.83	5.8	-0.4	2.0	-0.8	1030.4	0.00	0.333	0.000	13.4	33	-2.5	11.8	30
01.01.20	21:01	2.4	2.5	2.4	68	-2.9	2.7	ESE	4.83	4.9	-0.3	2.1	-0.6	1030.2	0.00	0.331	0.000	13.4	33	-2.5	11.8	30
01.01.20	21:31	2.4	2.5	2.3	68	-2.9	3.1	ESE	5.63	5.8	-0.7	2.1	-1.1	1030.0	0.00	0.332	0.000	13.4	32	-2.9	11.8	30
01.01.20	22:01	2.3	2.3	2.3	66	-3.4	3.1	ESE	5.63	5.4	-0.9	1.9	-1.3	1029.7	0.00	0.334	0.000	13.4	32	-2.9	11.8	30
01.01.20	22:31	2.3	2.4	2.2	66	-3.4	2.7	ESE	4.83	4.9	-0.5	1.9	-0.9	1029.6	0.00	0.334	0.000	13.4	32	-2.9	11.8	30
01.01.20	23:01	1.8	2.2	1.5	72	-2.7	2.7	ESE	4.83	4.0	-1.1	1.5	-1.4	1029.6	0.00	0.345	0.000	13.4	32	-2.9	11.8	30
01.01.20	23:31	1.6	1.8	1.4	72	-2.9	2.7	ESE	4.83	5.4	-1.3	1.3	-1.6	1029.7	0.00	0.348	0.000	13.4	32	-2.9	11.8	30
